no change     /nfs/home/vpais/miniconda/condabin/conda
no change     /nfs/home/vpais/miniconda/bin/conda
no change     /nfs/home/vpais/miniconda/bin/conda-env
no change     /nfs/home/vpais/miniconda/bin/activate
no change     /nfs/home/vpais/miniconda/bin/deactivate
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.sh
no change     /nfs/home/vpais/miniconda/etc/fish/conf.d/conda.fish
no change     /nfs/home/vpais/miniconda/shell/condabin/Conda.psm1
no change     /nfs/home/vpais/miniconda/shell/condabin/conda-hook.ps1
no change     /nfs/home/vpais/miniconda/lib/python3.9/site-packages/xontrib/conda.xsh
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.csh
no change     /nfs/home/vpais/.bashrc
No action taken.
Using MPI version 3.1, 64 processes
Meep progress: 522.5/1225.375 = 42.6% done in 762.6s, 1025.8s to go
on time step 4180 (time=522.5), 0.109419 s/step
Meep progress: 527.125/1225.375 = 43.0% done in 766.6s, 1015.5s to go
on time step 4217 (time=527.125), 0.109753 s/step
Meep progress: 531.75/1225.375 = 43.4% done in 770.7s, 1005.3s to go
on time step 4254 (time=531.75), 0.110141 s/step
Meep progress: 536.375/1225.375 = 43.8% done in 774.8s, 995.3s to go
on time step 4291 (time=536.375), 0.110804 s/step
Meep progress: 541.0/1225.375 = 44.1% done in 778.8s, 985.3s to go
on time step 4328 (time=541), 0.109637 s/step
Meep progress: 545.625/1225.375 = 44.5% done in 782.9s, 975.4s to go
on time step 4365 (time=545.625), 0.109835 s/step
Meep progress: 550.25/1225.375 = 44.9% done in 787.0s, 965.6s to go
on time step 4402 (time=550.25), 0.109975 s/step
Meep progress: 554.875/1225.375 = 45.3% done in 791.0s, 955.9s to go
on time step 4439 (time=554.875), 0.109069 s/step
Meep progress: 559.5/1225.375 = 45.7% done in 795.1s, 946.3s to go
on time step 4476 (time=559.5), 0.109863 s/step
Meep progress: 564.125/1225.375 = 46.0% done in 799.1s, 936.7s to go
on time step 4513 (time=564.125), 0.109741 s/step
Meep progress: 568.75/1225.375 = 46.4% done in 803.2s, 927.3s to go
on time step 4550 (time=568.75), 0.109988 s/step
Meep progress: 573.375/1225.375 = 46.8% done in 807.3s, 917.9s to go
on time step 4587 (time=573.375), 0.108976 s/step
Meep progress: 578.0/1225.375 = 47.2% done in 811.3s, 908.7s to go
on time step 4624 (time=578), 0.10897 s/step
Meep progress: 582.625/1225.375 = 47.5% done in 815.3s, 899.5s to go
on time step 4661 (time=582.625), 0.109788 s/step
Meep progress: 587.25/1225.375 = 47.9% done in 819.4s, 890.4s to go
on time step 4698 (time=587.25), 0.109722 s/step
Meep progress: 591.875/1225.375 = 48.3% done in 823.5s, 881.4s to go
on time step 4735 (time=591.875), 0.109733 s/step
Meep progress: 596.5/1225.375 = 48.7% done in 827.5s, 872.4s to go
on time step 4772 (time=596.5), 0.109676 s/step
Meep progress: 601.125/1225.375 = 49.1% done in 831.6s, 863.6s to go
on time step 4809 (time=601.125), 0.109812 s/step
Meep progress: 605.75/1225.375 = 49.4% done in 835.7s, 854.8s to go
on time step 4846 (time=605.75), 0.109781 s/step
Meep progress: 610.375/1225.375 = 49.8% done in 839.7s, 846.1s to go
on time step 4883 (time=610.375), 0.109737 s/step
Meep progress: 615.0/1225.375 = 50.2% done in 843.7s, 837.4s to go
on time step 4920 (time=615), 0.109028 s/step
Meep progress: 619.625/1225.375 = 50.6% done in 847.8s, 828.8s to go
on time step 4957 (time=619.625), 0.109705 s/step
Meep progress: 624.25/1225.375 = 50.9% done in 851.9s, 820.3s to go
on time step 4994 (time=624.25), 0.109459 s/step
Meep progress: 628.875/1225.375 = 51.3% done in 855.9s, 811.9s to go
on time step 5031 (time=628.875), 0.10963 s/step
Meep progress: 633.5/1225.375 = 51.7% done in 860.0s, 803.5s to go
on time step 5068 (time=633.5), 0.10944 s/step
Meep progress: 638.125/1225.375 = 52.1% done in 864.1s, 795.2s to go
on time step 5105 (time=638.125), 0.110446 s/step
Meep progress: 642.75/1225.375 = 52.5% done in 868.1s, 786.9s to go
on time step 5142 (time=642.75), 0.109742 s/step
Meep progress: 647.375/1225.375 = 52.8% done in 872.2s, 778.7s to go
on time step 5179 (time=647.375), 0.10936 s/step
Meep progress: 652.0/1225.375 = 53.2% done in 876.2s, 770.6s to go
on time step 5216 (time=652), 0.109693 s/step
Meep progress: 656.625/1225.375 = 53.6% done in 880.3s, 762.5s to go
on time step 5253 (time=656.625), 0.109617 s/step
Meep progress: 661.25/1225.375 = 54.0% done in 884.3s, 754.5s to go
on time step 5290 (time=661.25), 0.109898 s/step
Meep progress: 665.875/1225.375 = 54.3% done in 888.4s, 746.5s to go
on time step 5327 (time=665.875), 0.109647 s/step
Meep progress: 670.5/1225.375 = 54.7% done in 892.5s, 738.6s to go
on time step 5364 (time=670.5), 0.109402 s/step
Meep progress: 675.125/1225.375 = 55.1% done in 896.5s, 730.7s to go
on time step 5401 (time=675.125), 0.109578 s/step
Meep progress: 679.75/1225.375 = 55.5% done in 900.6s, 722.9s to go
on time step 5438 (time=679.75), 0.109771 s/step
Meep progress: 684.375/1225.375 = 55.9% done in 904.6s, 715.1s to go
on time step 5475 (time=684.375), 0.109924 s/step
Meep progress: 689.0/1225.375 = 56.2% done in 908.7s, 707.4s to go
on time step 5512 (time=689), 0.10992 s/step
Meep progress: 693.625/1225.375 = 56.6% done in 912.8s, 699.7s to go
on time step 5549 (time=693.625), 0.109488 s/step
Meep progress: 698.25/1225.375 = 57.0% done in 916.8s, 692.1s to go
on time step 5586 (time=698.25), 0.109894 s/step
Meep progress: 702.875/1225.375 = 57.4% done in 920.9s, 684.6s to go
on time step 5623 (time=702.875), 0.109922 s/step
Meep progress: 707.5/1225.375 = 57.7% done in 925.0s, 677.0s to go
on time step 5660 (time=707.5), 0.109669 s/step
Meep progress: 712.125/1225.375 = 58.1% done in 929.0s, 669.5s to go
on time step 5697 (time=712.125), 0.10897 s/step
Meep progress: 716.75/1225.375 = 58.5% done in 933.0s, 662.1s to go
on time step 5734 (time=716.75), 0.109694 s/step
Meep progress: 721.375/1225.375 = 58.9% done in 937.1s, 654.7s to go
on time step 5771 (time=721.375), 0.110075 s/step
Meep progress: 726.0/1225.375 = 59.2% done in 941.2s, 647.4s to go
on time step 5808 (time=726), 0.109183 s/step
Meep progress: 730.625/1225.375 = 59.6% done in 945.2s, 640.1s to go
on time step 5845 (time=730.625), 0.109302 s/step
Meep progress: 735.25/1225.375 = 60.0% done in 949.3s, 632.8s to go
on time step 5882 (time=735.25), 0.109849 s/step
Meep progress: 739.875/1225.375 = 60.4% done in 953.3s, 625.6s to go
on time step 5919 (time=739.875), 0.109996 s/step
Meep progress: 744.5/1225.375 = 60.8% done in 957.4s, 618.4s to go
on time step 5956 (time=744.5), 0.109429 s/step
Meep progress: 749.125/1225.375 = 61.1% done in 961.4s, 611.2s to go
on time step 5993 (time=749.125), 0.109273 s/step
Meep progress: 753.75/1225.375 = 61.5% done in 965.5s, 604.1s to go
on time step 6030 (time=753.75), 0.109567 s/step
Meep progress: 758.375/1225.375 = 61.9% done in 969.5s, 597.0s to go
on time step 6067 (time=758.375), 0.109577 s/step
Meep progress: 763.0/1225.375 = 62.3% done in 973.6s, 590.0s to go
on time step 6104 (time=763), 0.109596 s/step
Meep progress: 767.625/1225.375 = 62.6% done in 977.7s, 583.0s to go
on time step 6141 (time=767.625), 0.109461 s/step
Meep progress: 772.25/1225.375 = 63.0% done in 981.7s, 576.0s to go
on time step 6178 (time=772.25), 0.109398 s/step
Meep progress: 776.875/1225.375 = 63.4% done in 985.8s, 569.1s to go
on time step 6215 (time=776.875), 0.109744 s/step
Meep progress: 781.5/1225.375 = 63.8% done in 989.8s, 562.2s to go
on time step 6252 (time=781.5), 0.10952 s/step
Meep progress: 786.125/1225.375 = 64.2% done in 993.9s, 555.3s to go
on time step 6289 (time=786.125), 0.109783 s/step
Meep progress: 790.75/1225.375 = 64.5% done in 998.0s, 548.5s to go
on time step 6326 (time=790.75), 0.11008 s/step
Meep progress: 795.375/1225.375 = 64.9% done in 1002.0s, 541.7s to go
on time step 6363 (time=795.375), 0.109386 s/step
Meep progress: 800.0/1225.375 = 65.3% done in 1006.1s, 535.0s to go
on time step 6400 (time=800), 0.110365 s/step
Meep progress: 804.625/1225.375 = 65.7% done in 1010.2s, 528.2s to go
on time step 6437 (time=804.625), 0.109809 s/step
Meep progress: 809.25/1225.375 = 66.0% done in 1014.2s, 521.5s to go
on time step 6474 (time=809.25), 0.109568 s/step
Meep progress: 813.875/1225.375 = 66.4% done in 1018.2s, 514.8s to go
on time step 6511 (time=813.875), 0.108759 s/step
Meep progress: 818.5/1225.375 = 66.8% done in 1022.3s, 508.2s to go
on time step 6548 (time=818.5), 0.109483 s/step
Meep progress: 823.125/1225.375 = 67.2% done in 1026.4s, 501.6s to go
on time step 6585 (time=823.125), 0.109968 s/step
Meep progress: 827.75/1225.375 = 67.6% done in 1030.4s, 495.0s to go
on time step 6622 (time=827.75), 0.109912 s/step
Meep progress: 832.375/1225.375 = 67.9% done in 1034.5s, 488.4s to go
on time step 6659 (time=832.375), 0.110403 s/step
Meep progress: 836.875/1225.375 = 68.3% done in 1038.5s, 482.1s to go
on time step 6695 (time=836.875), 0.111237 s/step
Meep progress: 841.5/1225.375 = 68.7% done in 1042.6s, 475.6s to go
on time step 6732 (time=841.5), 0.109679 s/step
Meep progress: 846.125/1225.375 = 69.1% done in 1046.6s, 469.1s to go
on time step 6769 (time=846.125), 0.109228 s/step
Meep progress: 850.75/1225.375 = 69.4% done in 1050.7s, 462.7s to go
on time step 6806 (time=850.75), 0.109528 s/step
Meep progress: 855.375/1225.375 = 69.8% done in 1054.7s, 456.2s to go
on time step 6843 (time=855.375), 0.109616 s/step
Meep progress: 860.0/1225.375 = 70.2% done in 1058.8s, 449.8s to go
on time step 6880 (time=860), 0.109761 s/step
Meep progress: 864.625/1225.375 = 70.6% done in 1062.8s, 443.5s to go
on time step 6917 (time=864.625), 0.109462 s/step
Meep progress: 869.25/1225.375 = 70.9% done in 1066.9s, 437.1s to go
on time step 6954 (time=869.25), 0.109715 s/step
Meep progress: 873.875/1225.375 = 71.3% done in 1070.9s, 430.8s to go
on time step 6991 (time=873.875), 0.109443 s/step
Meep progress: 878.5/1225.375 = 71.7% done in 1075.0s, 424.5s to go
on time step 7028 (time=878.5), 0.109453 s/step
Meep progress: 883.125/1225.375 = 72.1% done in 1079.1s, 418.2s to go
on time step 7065 (time=883.125), 0.109631 s/step
Meep progress: 887.75/1225.375 = 72.4% done in 1083.1s, 411.9s to go
on time step 7102 (time=887.75), 0.109409 s/step
Meep progress: 892.375/1225.375 = 72.8% done in 1087.2s, 405.7s to go
on time step 7139 (time=892.375), 0.109832 s/step
Meep progress: 897.0/1225.375 = 73.2% done in 1091.2s, 399.5s to go
on time step 7176 (time=897), 0.109564 s/step
Meep progress: 901.625/1225.375 = 73.6% done in 1095.3s, 393.3s to go
on time step 7213 (time=901.625), 0.110143 s/step
Meep progress: 906.25/1225.375 = 74.0% done in 1099.4s, 387.1s to go
on time step 7250 (time=906.25), 0.109723 s/step
Meep progress: 910.875/1225.375 = 74.3% done in 1103.4s, 381.0s to go
on time step 7287 (time=910.875), 0.109564 s/step
Meep progress: 915.5/1225.375 = 74.7% done in 1107.5s, 374.9s to go
on time step 7324 (time=915.5), 0.110133 s/step
Meep progress: 920.125/1225.375 = 75.1% done in 1111.5s, 368.8s to go
on time step 7361 (time=920.125), 0.109321 s/step
Meep progress: 924.75/1225.375 = 75.5% done in 1115.6s, 362.7s to go
on time step 7398 (time=924.75), 0.110018 s/step
Meep progress: 929.375/1225.375 = 75.8% done in 1119.7s, 356.6s to go
on time step 7435 (time=929.375), 0.109637 s/step
Meep progress: 934.0/1225.375 = 76.2% done in 1123.7s, 350.6s to go
on time step 7472 (time=934), 0.109639 s/step
Meep progress: 938.625/1225.375 = 76.6% done in 1127.8s, 344.5s to go
on time step 7509 (time=938.625), 0.109534 s/step
Meep progress: 943.25/1225.375 = 77.0% done in 1131.8s, 338.5s to go
on time step 7546 (time=943.25), 0.109205 s/step
Meep progress: 947.75/1225.375 = 77.3% done in 1135.8s, 332.7s to go
on time step 7582 (time=947.75), 0.111401 s/step
Meep progress: 952.375/1225.375 = 77.7% done in 1139.9s, 326.8s to go
on time step 7619 (time=952.375), 0.109534 s/step
Meep progress: 957.0/1225.375 = 78.1% done in 1143.9s, 320.8s to go
on time step 7656 (time=957), 0.109149 s/step
