no change     /nfs/home/vpais/miniconda/condabin/conda
no change     /nfs/home/vpais/miniconda/bin/conda
no change     /nfs/home/vpais/miniconda/bin/conda-env
no change     /nfs/home/vpais/miniconda/bin/activate
no change     /nfs/home/vpais/miniconda/bin/deactivate
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.sh
no change     /nfs/home/vpais/miniconda/etc/fish/conf.d/conda.fish
no change     /nfs/home/vpais/miniconda/shell/condabin/Conda.psm1
no change     /nfs/home/vpais/miniconda/shell/condabin/conda-hook.ps1
no change     /nfs/home/vpais/miniconda/lib/python3.9/site-packages/xontrib/conda.xsh
no change     /nfs/home/vpais/miniconda/etc/profile.d/conda.csh
no change     /nfs/home/vpais/.bashrc
No action taken.
Using MPI version 3.1, 8 processes
Meep progress: 16.9375/1224.9 = 1.4% done in 719.0s, 51279.7s to go
on time step 271 (time=16.9375), 2.46099 s/step
Meep progress: 17.0625/1224.9 = 1.4% done in 723.9s, 51247.1s to go
on time step 273 (time=17.0625), 2.46023 s/step
Meep progress: 17.1875/1224.9 = 1.4% done in 728.9s, 51214.8s to go
on time step 275 (time=17.1875), 2.46013 s/step
Meep progress: 17.3125/1224.9 = 1.4% done in 733.8s, 51183.0s to go
on time step 277 (time=17.3125), 2.45997 s/step
Meep progress: 17.4375/1224.9 = 1.4% done in 738.7s, 51151.5s to go
on time step 279 (time=17.4375), 2.45975 s/step
Meep progress: 17.5625/1224.9 = 1.4% done in 743.6s, 51120.4s to go
on time step 281 (time=17.5625), 2.46045 s/step
Meep progress: 17.6875/1224.9 = 1.4% done in 748.5s, 51089.8s to go
on time step 283 (time=17.6875), 2.46082 s/step
Meep progress: 17.8125/1224.9 = 1.5% done in 753.5s, 51059.5s to go
on time step 285 (time=17.8125), 2.46059 s/step
Meep progress: 17.9375/1224.9 = 1.5% done in 758.4s, 51029.6s to go
on time step 287 (time=17.9375), 2.46026 s/step
Meep progress: 18.0625/1224.9 = 1.5% done in 763.3s, 51000.0s to go
on time step 289 (time=18.0625), 2.46056 s/step
Meep progress: 18.1875/1224.9 = 1.5% done in 768.2s, 50970.7s to go
on time step 291 (time=18.1875), 2.46058 s/step
Meep progress: 18.3125/1224.9 = 1.5% done in 773.1s, 50941.8s to go
on time step 293 (time=18.3125), 2.46028 s/step
Meep progress: 18.4375/1224.9 = 1.5% done in 778.1s, 50913.4s to go
on time step 295 (time=18.4375), 2.46247 s/step
Meep progress: 18.5625/1224.9 = 1.5% done in 783.0s, 50885.2s to go
on time step 297 (time=18.5625), 2.46082 s/step
Meep progress: 18.6875/1224.9 = 1.5% done in 787.9s, 50857.2s to go
on time step 299 (time=18.6875), 2.46033 s/step
Meep progress: 18.8125/1224.9 = 1.5% done in 792.8s, 50829.5s to go
on time step 301 (time=18.8125), 2.46037 s/step
Meep progress: 18.9375/1224.9 = 1.5% done in 797.8s, 50802.1s to go
on time step 303 (time=18.9375), 2.45993 s/step
Meep progress: 19.0625/1224.9 = 1.6% done in 802.7s, 50775.0s to go
on time step 305 (time=19.0625), 2.46044 s/step
Meep progress: 19.1875/1224.9 = 1.6% done in 807.6s, 50748.4s to go
on time step 307 (time=19.1875), 2.46154 s/step
Meep progress: 19.3125/1224.9 = 1.6% done in 812.5s, 50721.8s to go
on time step 309 (time=19.3125), 2.46019 s/step
Meep progress: 19.4375/1224.9 = 1.6% done in 817.4s, 50695.6s to go
on time step 311 (time=19.4375), 2.46013 s/step
Meep progress: 19.5625/1224.9 = 1.6% done in 822.4s, 50669.5s to go
on time step 313 (time=19.5625), 2.45985 s/step
Meep progress: 19.6875/1224.9 = 1.6% done in 827.3s, 50643.8s to go
on time step 315 (time=19.6875), 2.45998 s/step
Meep progress: 19.8125/1224.9 = 1.6% done in 832.2s, 50618.3s to go
on time step 317 (time=19.8125), 2.46014 s/step
Meep progress: 19.9375/1224.9 = 1.6% done in 837.1s, 50593.3s to go
on time step 319 (time=19.9375), 2.46173 s/step
Meep progress: 20.0625/1224.9 = 1.6% done in 842.0s, 50568.3s to go
on time step 321 (time=20.0625), 2.45974 s/step
Meep progress: 20.1875/1224.9 = 1.6% done in 847.0s, 50543.6s to go
on time step 323 (time=20.1875), 2.45991 s/step
Meep progress: 20.3125/1224.9 = 1.7% done in 851.9s, 50519.2s to go
on time step 325 (time=20.3125), 2.46034 s/step
Meep progress: 20.4375/1224.9 = 1.7% done in 856.8s, 50494.9s to go
on time step 327 (time=20.4375), 2.45984 s/step
Meep progress: 20.5625/1224.9 = 1.7% done in 861.7s, 50470.9s to go
on time step 329 (time=20.5625), 2.45999 s/step
Meep progress: 20.6875/1224.9 = 1.7% done in 866.6s, 50447.4s to go
on time step 331 (time=20.6875), 2.46201 s/step
Meep progress: 20.8125/1224.9 = 1.7% done in 871.6s, 50423.8s to go
on time step 333 (time=20.8125), 2.46008 s/step
Meep progress: 20.9375/1224.9 = 1.7% done in 876.5s, 50400.5s to go
on time step 335 (time=20.9375), 2.46017 s/step
Meep progress: 21.0625/1224.9 = 1.7% done in 881.4s, 50377.9s to go
on time step 337 (time=21.0625), 2.46422 s/step
Meep progress: 21.1875/1224.9 = 1.7% done in 886.3s, 50354.9s to go
on time step 339 (time=21.1875), 2.45872 s/step
Meep progress: 21.3125/1224.9 = 1.7% done in 891.3s, 50332.2s to go
on time step 341 (time=21.3125), 2.46004 s/step
Meep progress: 21.4375/1224.9 = 1.8% done in 896.2s, 50309.8s to go
on time step 343 (time=21.4375), 2.46067 s/step
Meep progress: 21.5625/1224.9 = 1.8% done in 901.1s, 50287.6s to go
on time step 345 (time=21.5625), 2.46035 s/step
Meep progress: 21.6875/1224.9 = 1.8% done in 906.0s, 50265.5s to go
on time step 347 (time=21.6875), 2.46017 s/step
Meep progress: 21.8125/1224.9 = 1.8% done in 910.9s, 50243.6s to go
on time step 349 (time=21.8125), 2.45956 s/step
Meep progress: 21.9375/1224.9 = 1.8% done in 915.9s, 50221.9s to go
on time step 351 (time=21.9375), 2.46003 s/step
Meep progress: 22.0625/1224.9 = 1.8% done in 920.8s, 50200.4s to go
on time step 353 (time=22.0625), 2.46005 s/step
Meep progress: 22.1875/1224.9 = 1.8% done in 925.7s, 50179.1s to go
on time step 355 (time=22.1875), 2.46009 s/step
Meep progress: 22.3125/1224.9 = 1.8% done in 930.6s, 50158.1s to go
on time step 357 (time=22.3125), 2.46137 s/step
Meep progress: 22.4375/1224.9 = 1.8% done in 935.5s, 50137.3s to go
on time step 359 (time=22.4375), 2.46049 s/step
Meep progress: 22.5625/1224.9 = 1.8% done in 940.5s, 50116.5s to go
on time step 361 (time=22.5625), 2.45964 s/step
Meep progress: 22.6875/1224.9 = 1.9% done in 945.4s, 50095.8s to go
on time step 363 (time=22.6875), 2.45965 s/step
Meep progress: 22.8125/1224.9 = 1.9% done in 950.3s, 50075.4s to go
on time step 365 (time=22.8125), 2.45985 s/step
Meep progress: 22.9375/1224.9 = 1.9% done in 955.2s, 50055.1s to go
on time step 367 (time=22.9375), 2.45968 s/step
Meep progress: 23.0625/1224.9 = 1.9% done in 960.1s, 50035.2s to go
on time step 369 (time=23.0625), 2.4618 s/step
Meep progress: 23.1875/1224.9 = 1.9% done in 965.1s, 50015.3s to go
on time step 371 (time=23.1875), 2.45964 s/step
Meep progress: 23.3125/1224.9 = 1.9% done in 970.0s, 49995.5s to go
on time step 373 (time=23.3125), 2.46004 s/step
Meep progress: 23.4375/1224.9 = 1.9% done in 974.9s, 49975.8s to go
on time step 375 (time=23.4375), 2.45939 s/step
Meep progress: 23.5625/1224.9 = 1.9% done in 979.8s, 49956.4s to go
on time step 377 (time=23.5625), 2.45959 s/step
Meep progress: 23.6875/1224.9 = 1.9% done in 984.7s, 49937.1s to go
on time step 379 (time=23.6875), 2.46002 s/step
Meep progress: 23.8125/1224.9 = 1.9% done in 989.7s, 49918.1s to go
on time step 381 (time=23.8125), 2.46145 s/step
Meep progress: 23.9375/1224.9 = 2.0% done in 994.6s, 49899.1s to go
on time step 383 (time=23.9375), 2.45988 s/step
Meep progress: 24.0625/1224.9 = 2.0% done in 999.5s, 49880.2s to go
on time step 385 (time=24.0625), 2.45971 s/step
Meep progress: 24.1875/1224.9 = 2.0% done in 1004.4s, 49861.5s to go
on time step 387 (time=24.1875), 2.45979 s/step
Meep progress: 24.3125/1224.9 = 2.0% done in 1009.3s, 49842.9s to go
on time step 389 (time=24.3125), 2.46 s/step
Meep progress: 24.4375/1224.9 = 2.0% done in 1014.3s, 49824.4s to go
on time step 391 (time=24.4375), 2.45948 s/step
Meep progress: 24.5625/1224.9 = 2.0% done in 1019.2s, 49806.3s to go
on time step 393 (time=24.5625), 2.46153 s/step
Meep progress: 24.6875/1224.9 = 2.0% done in 1024.1s, 49788.1s to go
on time step 395 (time=24.6875), 2.45956 s/step
Meep progress: 24.8125/1224.9 = 2.0% done in 1029.0s, 49770.0s to go
on time step 397 (time=24.8125), 2.45918 s/step
Meep progress: 24.9375/1224.9 = 2.0% done in 1033.9s, 49752.1s to go
on time step 399 (time=24.9375), 2.45962 s/step
Meep progress: 25.0625/1224.9 = 2.0% done in 1038.9s, 49734.3s to go
on time step 401 (time=25.0625), 2.45955 s/step
Meep progress: 25.1875/1224.9 = 2.1% done in 1043.8s, 49716.6s to go
on time step 403 (time=25.1875), 2.45972 s/step
Meep progress: 25.3125/1224.9 = 2.1% done in 1048.7s, 49699.2s to go
on time step 405 (time=25.3125), 2.46034 s/step
Meep progress: 25.4375/1224.9 = 2.1% done in 1053.6s, 49681.7s to go
on time step 407 (time=25.4375), 2.45931 s/step
Meep progress: 25.5625/1224.9 = 2.1% done in 1058.5s, 49664.5s to go
on time step 409 (time=25.5625), 2.46002 s/step
Meep progress: 25.6875/1224.9 = 2.1% done in 1063.5s, 49647.3s to go
on time step 411 (time=25.6875), 2.45945 s/step
Meep progress: 25.8125/1224.9 = 2.1% done in 1068.4s, 49630.2s to go
on time step 413 (time=25.8125), 2.45898 s/step
Meep progress: 25.9375/1224.9 = 2.1% done in 1073.3s, 49613.3s to go
on time step 415 (time=25.9375), 2.45996 s/step
Meep progress: 26.0625/1224.9 = 2.1% done in 1078.2s, 49596.6s to go
on time step 417 (time=26.0625), 2.46093 s/step
Meep progress: 26.1875/1224.9 = 2.1% done in 1083.1s, 49579.9s to go
on time step 419 (time=26.1875), 2.45951 s/step
Meep progress: 26.3125/1224.9 = 2.1% done in 1088.1s, 49563.2s to go
on time step 421 (time=26.3125), 2.45944 s/step
Meep progress: 26.4375/1224.9 = 2.2% done in 1093.0s, 49546.7s to go
on time step 423 (time=26.4375), 2.45942 s/step
Meep progress: 26.5625/1224.9 = 2.2% done in 1097.9s, 49530.4s to go
on time step 425 (time=26.5625), 2.45974 s/step
Meep progress: 26.6875/1224.9 = 2.2% done in 1102.8s, 49514.1s to go
on time step 427 (time=26.6875), 2.45991 s/step
Meep progress: 26.8125/1224.9 = 2.2% done in 1107.7s, 49498.1s to go
on time step 429 (time=26.8125), 2.46075 s/step
Meep progress: 26.9375/1224.9 = 2.2% done in 1112.7s, 49482.0s to go
on time step 431 (time=26.9375), 2.45978 s/step
Meep progress: 27.0625/1224.9 = 2.2% done in 1117.6s, 49465.8s to go
on time step 433 (time=27.0625), 2.45692 s/step
Meep progress: 27.1875/1224.9 = 2.2% done in 1122.5s, 49449.7s to go
on time step 435 (time=27.1875), 2.45633 s/step
Meep progress: 27.3125/1224.9 = 2.2% done in 1127.4s, 49433.7s to go
on time step 437 (time=27.3125), 2.45654 s/step
Meep progress: 27.4375/1224.9 = 2.2% done in 1132.3s, 49417.8s to go
on time step 439 (time=27.4375), 2.45673 s/step
Meep progress: 27.5625/1224.9 = 2.3% done in 1137.2s, 49402.0s to go
on time step 441 (time=27.5625), 2.45764 s/step
Meep progress: 27.6875/1224.9 = 2.3% done in 1142.1s, 49386.3s to go
on time step 443 (time=27.6875), 2.45651 s/step
Meep progress: 27.8125/1224.9 = 2.3% done in 1147.1s, 49370.7s to go
on time step 445 (time=27.8125), 2.45641 s/step
Meep progress: 27.9375/1224.9 = 2.3% done in 1152.0s, 49355.2s to go
on time step 447 (time=27.9375), 2.45713 s/step
Meep progress: 28.0625/1224.9 = 2.3% done in 1156.9s, 49339.8s to go
on time step 449 (time=28.0625), 2.45662 s/step
Meep progress: 28.1875/1224.9 = 2.3% done in 1161.8s, 49324.4s to go
on time step 451 (time=28.1875), 2.45601 s/step
Meep progress: 28.3125/1224.9 = 2.3% done in 1166.7s, 49309.3s to go
on time step 453 (time=28.3125), 2.45813 s/step
